"Destiny 2;First-Person-Shooter;PC;2017-10-24;In Destiny 2, the last safe city on Earth has fallen and lays in ruins, occupied by a powerful new enemy and his elite army, the Red Legion. Every player creates his own character called a Guardian, humanity's chosen protectors.;83;85;https://upload.wikimedia.org/wikipedia/en/0/05/Destiny_2_%28artwork%29.jpg"
"Mario Kart Deluxe 8;Racing;Nintendo Switch;2017-04-28;Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr. Race your friends in the definitive version of Mario Kart 8, only on Nintendo Switch. ;92;87;https://img.g2a.com/323x433/1x1x0/mario-kart-8-deluxe-nintendo-switch-nintendo-key-europe/5b50d0e4ae653a55ce1b52a5"
"Uncharted 4: A Thief's End;Action-Adventure;Playstation 4;2016-05-10;Set 3 years after the events of Uncharted 3, Nathan Drake has apparently left the world of fortune hunting behind. However, it doesn't take long for adventure to come calling when Drake's brother, Sam, re-emerges asking for his help to save his own life and offering an adventure Drake cannot resist. On the hunt for Captain Henry Avery's long-lost treasure, Sam and Drake embark on a journey to find Libertalia, the pirate utopia deep in the forests of Madagascar. Uncharted 4: A Thief's End takes players around the globe, through jungle isles, urban cities and snow-capped peaks on the search for Avery's fortune.;84;80;https://images-eu.ssl-images-amazon.com/images/I/51tZpmTn44L._SX198_BO1,204,203,200_QL40_ML2_.jpg"
