"Elden Ring;Action RPG;Playstation 5;2022-02-25;Elden Ring takes place in the realm of the Lands Between, sometime after the destruction of the titular Elden Ring and the scattering of its shards, the Great Runes. Once graced by the Ring and the Erdtree which symbolizes its presence, the realm is now ruled over by the demigod offspring of Queen Marika the Eternal, each possessing a shard of the Ring that corrupts and taints them with power. As Tarnished-exiles from the Lands Between who lost the Ring's grace and are summoned back after the Shattering, players must traverse the realm to ultimately find all the Great Runes, restore the Elden Ring, and become the Elden Lord.;97;99;https://upload.wikimedia.org/wikipedia/en/b/b9/Elden_Ring_Box_art.jpg"
"The Legend of Zelda: Ocarina of Time;Action-Adventure;Nintendo 64;1998-11-23;As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.;99;96;https://m.media-amazon.com/images/I/71OKKIhYDZL._SX522_.jpg"
"The Witcher 3: Wild Hunter;Action RPG;PlayStation 4;2015-05-18;With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders, breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt"".;92;;https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg"
